fecha,resolucion,despacho,expediente,enlace
2020-01-21,5-2020,"Tribunal Contencioso Administrativo, Sección VI",17-011404-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-963148
2020-01-24,6-2020,"Tribunal Contencioso Administrativo, Sección VI",16-004112-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-963149
2020-01-24,5-2020,"Tribunal Contencioso Administrativo, Sección VII",17-011504-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-963160
2020-01-28,4-2020,"Tribunal Contencioso Administrativo, Sección V",17-004440-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-963138
2020-02-28,22-2020,Tribunal Contencioso Administrativo,12-004558-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-966227
2020-03-16,19-2020,Tribunal Contencioso Administrativo,13-003114-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-966374
2020-03-30,41-2020,"Tribunal Contencioso Administrativo, Sección VI",12-003905-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-968513
2020-03-30,42-2020,"Tribunal Contencioso Administrativo, Sección VI",15-004090-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-970312
2020-04-02,1276-2020,Sala Primera,18-000617-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0004-973582
2020-04-29,54-2020,"Tribunal Contencioso Administrativo, Sección VI",18-000083-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-971570
2020-05-26,62-2020,"Tribunal Contencioso Administrativo, Sección VI",17-000197-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-978933
2020-05-26,63-2020,"Tribunal Contencioso Administrativo, Sección VI",17-008524-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-978934
2020-06-30,83-2020,"Tribunal Contencioso Administrativo, Sección VI",18-004397-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-982265
2020-07-30,57-2020,"Tribunal Contencioso Administrativo, Sección V",14-000098-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-987284
2020-08-06,88-2020,"Tribunal Contencioso Administrativo, Sección VII",18-010058-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-989269
2020-08-13,2201-2020,Sala Primera,13-004849-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0004-997467
2020-08-19,91-2020,"Tribunal Contencioso Administrativo, Sección IV",18-007179-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-990111
2020-09-11,82-2020,"Tribunal Contencioso Administrativo, Sección II",16-002920-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-993528
2020-09-28,122-2020,"Tribunal Contencioso Administrativo, Sección VI",18-000179-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-996726
2020-09-28,124-2020,"Tribunal Contencioso Administrativo, Sección VI",18-009231-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-996728
2020-10-30,130-2020,"Tribunal Contencioso Administrativo, Sección I",16-002736-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1002047
2020-11-24,153-2020,"Tribunal Contencioso Administrativo, Sección VI",19-004746-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1012524
2021-01-05,1-2021,"Tribunal Contencioso Administrativo, Sección V",14-009632-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1012755
2021-01-28,170-2021,Sala Primera,14-010363-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0004-1018736
2021-02-25,20-2021,"Tribunal Contencioso Administrativo, Sección VI",19-003995-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1025963
2021-04-09,41-2021,"Tribunal Contencioso Administrativo, Sección VI",19-004693-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1026771
2021-04-20,47-2021,"Tribunal Contencioso Administrativo, Sección VI",19-007695-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1032062
2021-04-30,54-2021,"Tribunal Contencioso Administrativo, Sección VI",18-006052-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1032068
2021-05-17,44-2021,"Tribunal Contencioso Administrativo, Sección I",14-007714-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1031968
